fixture_id,pdf,page_no,layout,confidence,reason,heuristic_label,heuristic_confidence,text_snippet
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,2,index_page,medium,contents/index keyword,index_page,0.58,"1.a LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 0 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 11L -1 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTION STATU"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,3,index_page,medium,contents/index keyword,spare_parts_table,0.48,"10 LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 1 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 11L -1.a PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTION STAT"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,2,index_page,medium,contents/index keyword,index_page,0.58,"1.a LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 0 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 12EP -1 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTIO"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,3,index_page,medium,contents/index keyword,index_page,0.58,"10 LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 1 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 12EP -1.a PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTI"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,4,index_page,medium,image heuristic fallback,index_page,0.58,"11 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 EMERGENCY GENERATOR MAIN CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 1.a No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -10 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGIEW"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,10,index_page,medium,image heuristic fallback,index_page,0.58,"17 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 EMERGENCY GENERATOR CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 15 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -16 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGI"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,11,index_page,medium,image heuristic fallback,index_page,0.58,"18 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 EMERGENCY GENERATOR CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 16 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -17 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGI"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,13,index_page,medium,image heuristic fallback,index_page,0.58,"20 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 EMERGENCY GENERATOR MEASURING IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 18 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -19 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERGIEWEG 4"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,28,index_page,medium,image heuristic fallback,index_page,0.58,"41 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 3 STARTERS / DISTRIBUTION MAIN CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 37 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -40 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X415V   ENERG"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,30,index_page,medium,image heuristic fallback,index_page,0.58,"43 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 3 S2 - ENGINE ROOM SUPPLY FAN PS CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 41 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -42 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD 3X41"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,33,index_page,medium,image heuristic fallback,index_page,0.58,"52 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 3 S4 - ENGINE ROOM SUPPLY FAN SB REVERSIBLE CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 50 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -51 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,38,index_page,medium,image heuristic fallback,index_page,0.58,"72 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 3 FIFI/ BALLAST/ EMERGENCY BILGE PUMP CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 70 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -71 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BOARD"
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,43,index_page,medium,image heuristic fallback,index_page,0.58,"87 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 3 FRESH WATER PUMP - CCWS LT 3 - STANDBY CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 85 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 12EP -86 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""12EP"" EMERGENCY DISTRIBUTION BO"
