fixture_id,pdf,page_no,layout,confidence,reason,heuristic_label,heuristic_confidence,text_snippet
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,1,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"ENERGIEWEG 46/c 6541 CX NIJMEGEN P.O. BOX 6973 6503 GL NIJMEGEN THE NETHERLANDS CUSTOMER SUPPORT :  +31 243716311 :  +31 243716310 :  am@alewijnse.nl : +31 243716342 :  service.amn@alewijnse.nl ELECTRIC INSTALLATION TSHD5500 DCI-3 CO1266 TEL FAX EMAIL TEL EMAIL IHC DREDGERS BV - TSHD5500 DCI-3 ""11L"" MAIN DISTRIBUTION BOARD 3X230V  "
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,2,index_page,medium,contents/index keyword,index_page,0.58,"1.a LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 0 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 11L -1 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTION STATU"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,3,index_page,medium,contents/index keyword,spare_parts_table,0.48,"10 LROS/IRS 23000143 CO1266 Page Class Project Yard no TABLE OF CONTENTS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 1 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT : : : : 1 24-1-2011 IEN CHK REV 11L -1.a PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJMEGEN TABLE OF CONTENTS PAGE SYSTEM DESCRIPTION STAT"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,4,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"11 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 INCOMING FEEDER PS MAIN CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 1.a No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -10 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C "
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,5,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"12 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 INCOMING FEEDER PS CONTROL CIRCUIT IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 10 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -11 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,6,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"13 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 INCOMING FEEDER PS MEASURING AND PROTECTION IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 11 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -12 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERG"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,7,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"15 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 INCOMING FEEDER PS SIGNALING IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 12 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -13 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,8,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"16 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 DISTRIBUTION GROUPS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 13 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -15 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJME"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,9,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"17 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 DISTRIBUTION GROUPS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 15 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -16 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJME"
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,10,spare_parts_table,low,image heuristic fallback,spare_parts_table,0.48,"18 LROS/IRS 23000143 CO1266 Page Class Project Yard no SECTION 1 DISTRIBUTION GROUPS IHC DREDGERS BV - TSHD5500 DCI-3 ALEWIJNSE MARINE B.V. M D 16 No part of this work may be copied, stored or published without prior written permission of Alewijnse Marine Systems. > < 5-12-2013 05-12-2013 AS BUILT * NO DELIVERY  ALEWIJNSE : : : :   PANEL IP23 1 24-1-2011 IEN CHK REV 11L -17 PVR 14 13 12 11 10 09 08 07 06 05 04 03 02 01 STAT IEN ""11L"" MAIN DISTRIBUTION BOARD 3X230V   ENERGIEWEG 46/C 6541 CX NIJME"
