fixture_id,pdf,page_no,layout,confidence,reason
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,1,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,2,index_page,high,table of contents pages
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,3,index_page,high,table of contents pages
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,4,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,5,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,6,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,7,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,8,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,9,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,10,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,11,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,12,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,13,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,14,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,15,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,16,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,17,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,18,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,19,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,20,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,21,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,22,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,23,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,24,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,25,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,26,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,27,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,28,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,29,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,30,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,31,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,32,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,33,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,34,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,35,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,36,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,37,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,38,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,39,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,40,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,41,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,42,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,43,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,44,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,45,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,46,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,47,spare_parts_table,high,known-good output rows
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,48,spare_parts_table,high,known-good output rows
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,49,spare_parts_table,high,known-good output rows
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,50,spare_parts_table,high,known-good output rows
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,51,spare_parts_table,high,known-good output rows
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,52,drawing_only,medium,electrical drawing/manual page
test1_main_distribution_board,Test/Test 1/23000143 11L REV 1 AS BUILT 5-12-2013 Pg No 47-53.pdf,53,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,1,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,2,index_page,high,table of contents pages
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,3,index_page,high,table of contents pages
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,4,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,5,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,6,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,7,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,8,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,9,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,10,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,11,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,12,drawing_only,medium,electrical drawing/manual page
test2_distribution_board_fixture_only,Test/Test 2/23000143 12EP REV 1 AS BUILT 5-12-2013 Pg No 45-54 .pdf,13,drawing_only,medium,electrical drawing/manual page
